13504;AZIENDA;CAB LOG S.R.L.;OPPEANO;VR;ITALIA;VIA MARCO BIAGI 11/13;37050;; a.traino@cab-log.it;;;13-05-2019;;;
140167;AZIENDA;HOMEPAGE SRL;VERONA;VR;ITALIA;VIA CASERMA OSPEDAL VECCHIO 6B;37100;;m.bazzotti@mos80.it;www.mos80.it;;20-05-2019;INFORMATICA;;
2245;AZIENDA;ROSSETTO TRADE SPA;SONA;VR;ITALIA;VIA FRIULI, 5;37060;0456861622;panificio@rossettogroup.it;http://rossettogroup.it/;;18-12-2015;;47.11.20;Supermercati
124466;AZIENDA;TECNOSERVICE SRL;VERONA;VR;ITALIA;VIALE PIAVE 16;37100;0458009926;risorse@tenoservicesrl.info;www.tecnoservicesrl.info;104;27-12-2018;;52.29.1;Spedizionieri e agenzie di operazioni doganali
15940;AZIENDA;AUTOTRASPORTI CTV VERONA S.R.L.;ZEVIO;VR;ITALIA;VIA CARDUCCI 4A;37059;0458738818;amministrazione@ctvtrasporti.it;www.ctvtrasporti.it;;;;;
59353;AZIENDA;AMIA - AZIENDA MULTISERVIZI DI IGIENE AMBIENTALE DI VERONA;VERONA;VR;ITALIA;VIA BARTOLOMEO AVESANI 31;37135;0458063459;amia.verona@amiavr.it;www.amiavr.it;600;;;38.21.09;Trattamento e smaltimento di altri rifiuti non pericolosi
53045;AZIENDA;UNIMEC SRL;SAN MARTINO BUON ALBERGO;VR;ITALIA;VIA MEUCCI 25;37036;0458780620;unimec@unimecsrl.eu;;10;07-05-2019;;28.29.99;Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca
1945;AZIENDA;HYPHEN - ITALIA S.R.L.;VERONA;VR;ITALIA;VIA MARCONI, 14;37035;0456203200;saraceno.a@hypen-italia.com;;;;INFORMATICA;;
114045;AZIENDA;AGRILAND 24 SRL;ALA;TN;ITALIA;CORSO PASSO BUOLE 5/A;38061;;info@agriland24.com;;2;27-05-2019;INFORMATICA;47.91.9;
60399;AZIENDA;CASAESPORT DI LAURA BELTRAME;VERONA;VR;ITALIA;VIA GALILEI,8;37138;0452226408;info@casaesport.it;www.casaesport.it;1;;;47.59.99;Commercio al dettaglio di altri articoli per uso domestico nca
37198;AZIENDA;ARCESE TRASPORTI SPA;ARCO;TN;ITALIA;VIA ALDO MORO 95;38062;0454573216;recruiting@arcese.com;;919;23-05-2019;;49.41.00;Trasporto di merci su strada
